as_of_month,cut,alert_rate,precision,recall,alerts
2024-10-31,0.06,0.0395,0.1341772151898734,0.3925925925925926,395
2024-10-31,0.065,0.0391,0.1329923273657289,0.3851851851851852,391
2024-10-31,0.07,0.039,0.13333333333333333,0.3851851851851852,390
2024-10-31,0.07500000000000001,0.0384,0.13541666666666666,0.3851851851851852,384
2024-10-31,0.08,0.0359,0.1392757660167131,0.37037037037037035,359
2024-10-31,0.085,0.0337,0.1394658753709199,0.34814814814814815,337
2024-10-31,0.09000000000000001,0.032,0.14375,0.34074074074074073,320
2024-10-31,0.095,0.0303,0.1485148514851485,0.3333333333333333,303
2024-10-31,0.1,0.0289,0.15570934256055363,0.3333333333333333,289
2024-11-30,0.005,0.6099,0.019183472700442697,0.9212598425196851,6099
2024-11-30,0.01,0.1967,0.04677173360447382,0.7244094488188977,1967
2024-11-30,0.015,0.1057,0.07473982970671712,0.6220472440944882,1057
2024-11-30,0.02,0.0853,0.08792497069167643,0.5905511811023622,853
2024-11-30,0.025,0.0655,0.11145038167938931,0.5748031496062992,655
2024-11-30,0.030000000000000002,0.0592,0.11993243243243243,0.5590551181102362,592
2024-11-30,0.034999999999999996,0.0567,0.12345679012345678,0.5511811023622047,567
2024-11-30,0.04,0.053,0.12830188679245283,0.5354330708661418,530
2024-11-30,0.045,0.0438,0.14840182648401826,0.5118110236220472,438
2024-11-30,0.049999999999999996,0.0402,0.15422885572139303,0.4881889763779528,402
2024-11-30,0.055,0.0385,0.15844155844155844,0.48031496062992124,385
2024-11-30,0.06,0.038,0.15789473684210525,0.47244094488188976,380
2024-11-30,0.065,0.0372,0.16129032258064516,0.47244094488188976,372
2024-11-30,0.07,0.0362,0.16574585635359115,0.47244094488188976,362
2024-11-30,0.07500000000000001,0.0355,0.16901408450704225,0.47244094488188976,355
2024-11-30,0.08,0.0337,0.17210682492581603,0.4566929133858268,337
2024-11-30,0.085,0.0321,0.17757009345794392,0.44881889763779526,321
2024-11-30,0.09000000000000001,0.0301,0.18272425249169436,0.4330708661417323,301
2024-11-30,0.095,0.029,0.1793103448275862,0.4094488188976378,290
2024-11-30,0.1,0.028,0.18214285714285713,0.4015748031496063,280
2024-12-31,0.005,0.6145,0.02050447518307567,0.875,6145
2024-12-31,0.01,0.1967,0.04778851042196238,0.6527777777777778,1967
2024-12-31,0.015,0.1064,0.07988721804511278,0.5902777777777778,1064
2024-12-31,0.02,0.085,0.0988235294117647,0.5833333333333334,850
2024-12-31,0.025,0.068,0.11764705882352941,0.5555555555555556,680
2024-12-31,0.030000000000000002,0.0611,0.1260229132569558,0.5347222222222222,611
2024-12-31,0.034999999999999996,0.0586,0.12798634812286688,0.5208333333333334,586
2024-12-31,0.04,0.0522,0.1360153256704981,0.4930555555555556,522
2024-12-31,0.045,0.0463,0.1490280777537797,0.4791666666666667,463
2024-12-31,0.049999999999999996,0.0424,0.1580188679245283,0.4652777777777778,424
2024-12-31,0.055,0.0403,0.1662531017369727,0.4652777777777778,403
2024-12-31,0.06,0.0401,0.16708229426433915,0.4652777777777778,401
2024-12-31,0.065,0.0392,0.17091836734693877,0.4652777777777778,392
2024-12-31,0.07,0.0389,0.17223650385604114,0.4652777777777778,389
2024-12-31,0.07500000000000001,0.0378,0.17195767195767195,0.4513888888888889,378
2024-12-31,0.08,0.0359,0.17827298050139276,0.4444444444444444,359
2024-12-31,0.085,0.0336,0.1875,0.4375,336
2024-12-31,0.09000000000000001,0.0328,0.19207317073170732,0.4375,328
2024-12-31,0.095,0.0311,0.20257234726688103,0.4375,311
2024-12-31,0.1,0.0295,0.21016949152542372,0.4305555555555556,295
2025-01-31,0.005,0.6084,0.021203155818540435,0.9084507042253521,6084
2025-01-31,0.01,0.1957,0.04803270311701584,0.6619718309859155,1957
2025-01-31,0.015,0.1056,0.07575757575757576,0.5633802816901409,1056
2025-01-31,0.02,0.0838,0.08949880668257756,0.528169014084507,838
2025-01-31,0.025,0.0651,0.10599078341013825,0.4859154929577465,651
2025-01-31,0.030000000000000002,0.0605,0.10743801652892562,0.45774647887323944,605
2025-01-31,0.034999999999999996,0.0574,0.11149825783972125,0.4507042253521127,574
2025-01-31,0.04,0.0528,0.11931818181818182,0.44366197183098594,528
2025-01-31,0.045,0.0454,0.13656387665198239,0.43661971830985913,454
2025-01-31,0.049999999999999996,0.0419,0.1431980906921241,0.4225352112676056,419
2025-01-31,0.055,0.0406,0.14532019704433496,0.4154929577464789,406
2025-01-31,0.06,0.0402,0.14676616915422885,0.4154929577464789,402
2025-01-31,0.065,0.039,0.15128205128205127,0.4154929577464789,390
2025-01-31,0.07,0.0384,0.15104166666666666,0.4084507042253521,384
2025-01-31,0.07500000000000001,0.0381,0.15223097112860892,0.4084507042253521,381
2025-01-31,0.08,0.0357,0.16246498599439776,0.4084507042253521,357
2025-01-31,0.085,0.0335,0.16716417910447762,0.39436619718309857,335
2025-01-31,0.09000000000000001,0.0316,0.16772151898734178,0.3732394366197183,316
2025-01-31,0.095,0.0307,0.16938110749185667,0.36619718309859156,307
2025-01-31,0.1,0.0294,0.17346938775510204,0.3591549295774648,294
2025-02-28,0.005,0.6086,0.024318107131120606,0.9192546583850931,6086
2025-02-28,0.01,0.2006,0.05284147557328016,0.6583850931677019,2006
2025-02-28,0.015,0.1066,0.08630393996247655,0.5714285714285714,1066
2025-02-28,0.02,0.0858,0.1048951048951049,0.5590062111801242,858
2025-02-28,0.025,0.0676,0.128698224852071,0.5403726708074534,676
2025-02-28,0.030000000000000002,0.0614,0.13843648208469056,0.5279503105590062,614
2025-02-28,0.034999999999999996,0.0585,0.14358974358974358,0.5217391304347826,585
2025-02-28,0.04,0.0541,0.15157116451016636,0.5093167701863354,541
2025-02-28,0.045,0.0484,0.1652892561983471,0.4968944099378882,484
2025-02-28,0.049999999999999996,0.0452,0.17256637168141592,0.484472049689441,452
2025-02-28,0.055,0.0428,0.17990654205607476,0.4782608695652174,428
2025-02-28,0.06,0.0423,0.18203309692671396,0.4782608695652174,423
2025-02-28,0.065,0.0418,0.18421052631578946,0.4782608695652174,418
2025-02-28,0.07,0.0413,0.18401937046004843,0.4720496894409938,413
2025-02-28,0.07500000000000001,0.0407,0.18181818181818182,0.45962732919254656,407
2025-02-28,0.08,0.0391,0.18925831202046037,0.45962732919254656,391
2025-02-28,0.085,0.0371,0.19946091644204852,0.45962732919254656,371
2025-02-28,0.09000000000000001,0.0364,0.2032967032967033,0.45962732919254656,364
2025-02-28,0.095,0.0357,0.20728291316526612,0.45962732919254656,357
2025-02-28,0.1,0.0347,0.21037463976945245,0.453416149068323,347
2025-03-31,0.005,0.604,0.019370860927152317,0.9069767441860465,6040
2025-03-31,0.01,0.1901,0.046291425565491845,0.6821705426356589,1901
2025-03-31,0.015,0.1039,0.07988450433108758,0.6434108527131783,1039
2025-03-31,0.02,0.0829,0.09408926417370325,0.6046511627906976,829
2025-03-31,0.025,0.0666,0.1111111111111111,0.5736434108527132,666
2025-03-31,0.030000000000000002,0.0586,0.12286689419795221,0.5581395348837209,586
2025-03-31,0.034999999999999996,0.0558,0.12365591397849462,0.5348837209302325,558
2025-03-31,0.04,0.0512,0.1328125,0.5271317829457365,512
2025-03-31,0.045,0.0447,0.14093959731543623,0.4883720930232558,447
2025-03-31,0.049999999999999996,0.0411,0.15328467153284672,0.4883720930232558,411
2025-03-31,0.055,0.0391,0.16112531969309463,0.4883720930232558,391
2025-03-31,0.06,0.0386,0.16321243523316062,0.4883720930232558,386
2025-03-31,0.065,0.038,0.1631578947368421,0.4806201550387597,380
2025-03-31,0.07,0.0372,0.1586021505376344,0.4573643410852713,372
2025-03-31,0.07500000000000001,0.0362,0.16298342541436464,0.4573643410852713,362
2025-03-31,0.08,0.0342,0.1695906432748538,0.4496124031007752,342
2025-03-31,0.085,0.0327,0.1743119266055046,0.4418604651162791,327
2025-03-31,0.09000000000000001,0.0313,0.17891373801916932,0.43410852713178294,313
2025-03-31,0.095,0.029,0.18275862068965518,0.4108527131782946,290
2025-03-31,0.1,0.0284,0.18309859154929578,0.40310077519379844,284
2025-04-30,0.005,0.6171,0.021876519202722412,0.9121621621621622,6171
2025-04-30,0.01,0.1972,0.05273833671399594,0.7027027027027027,1972
2025-04-30,0.015,0.1024,0.087890625,0.6081081081081081,1024
2025-04-30,0.02,0.0819,0.10500610500610501,0.581081081081081,819
2025-04-30,0.025,0.0665,0.12180451127819548,0.5472972972972973,665
2025-04-30,0.030000000000000002,0.0613,0.13213703099510604,0.5472972972972973,613
2025-04-30,0.034999999999999996,0.0575,0.1373913043478261,0.5337837837837838,575
2025-04-30,0.04,0.0516,0.1375968992248062,0.4797297297297297,516
2025-04-30,0.045,0.0457,0.15317286652078774,0.47297297297297297,457
2025-04-30,0.049999999999999996,0.042,0.1595238095238095,0.4527027027027027,420
2025-04-30,0.055,0.0407,0.16216216216216217,0.44594594594594594,407
2025-04-30,0.06,0.0402,0.16417910447761194,0.44594594594594594,402
2025-04-30,0.065,0.0397,0.16624685138539042,0.44594594594594594,397
2025-04-30,0.07,0.0393,0.16539440203562342,0.4391891891891892,393
2025-04-30,0.07500000000000001,0.039,0.1641025641025641,0.43243243243243246,390
2025-04-30,0.08,0.037,0.17297297297297298,0.43243243243243246,370
2025-04-30,0.085,0.0344,0.18023255813953487,0.4189189189189189,344
2025-04-30,0.09000000000000001,0.0329,0.182370820668693,0.40540540540540543,329
2025-04-30,0.095,0.032,0.1875,0.40540540540540543,320
2025-04-30,0.1,0.0306,0.1895424836601307,0.3918918918918919,306
2025-05-31,0.005,0.6094,0.019855595667870037,0.8897058823529411,6094
2025-05-31,0.01,0.1909,0.04609743321110529,0.6470588235294118,1909
2025-05-31,0.015,0.1024,0.07421875,0.5588235294117647,1024
2025-05-31,0.02,0.0826,0.08958837772397095,0.5441176470588235,826
2025-05-31,0.025,0.0646,0.10371517027863777,0.49264705882352944,646
2025-05-31,0.030000000000000002,0.058,0.11379310344827587,0.4852941176470588,580
2025-05-31,0.034999999999999996,0.0549,0.11839708561020036,0.47794117647058826,549
2025-05-31,0.04,0.0499,0.12625250501002003,0.4632352941176471,499
2025-05-31,0.045,0.0435,0.14022988505747128,0.4485294117647059,435
2025-05-31,0.049999999999999996,0.0412,0.14320388349514562,0.4338235294117647,412
2025-05-31,0.055,0.0395,0.14936708860759493,0.4338235294117647,395
2025-05-31,0.06,0.0389,0.15167095115681234,0.4338235294117647,389
2025-05-31,0.065,0.0378,0.15608465608465608,0.4338235294117647,378
2025-05-31,0.07,0.0371,0.15902964959568733,0.4338235294117647,371
2025-05-31,0.07500000000000001,0.0363,0.162534435261708,0.4338235294117647,363
2025-05-31,0.08,0.0345,0.1681159420289855,0.4264705882352941,345
2025-05-31,0.085,0.0331,0.16314199395770393,0.39705882352941174,331
2025-05-31,0.09000000000000001,0.0316,0.16772151898734178,0.3897058823529412,316
2025-05-31,0.095,0.0303,0.16501650165016502,0.36764705882352944,303
2025-05-31,0.1,0.0281,0.17437722419928825,0.3602941176470588,281
2025-06-30,0.005,0.6054,0.0191608853650479,0.8992248062015504,6054
2025-06-30,0.01,0.1951,0.04715530497180933,0.7131782945736435,1951
2025-06-30,0.015,0.1033,0.07163601161665054,0.5736434108527132,1033
2025-06-30,0.02,0.0814,0.085995085995086,0.5426356589147286,814
2025-06-30,0.025,0.0658,0.10182370820668693,0.5193798449612403,658
2025-06-30,0.030000000000000002,0.0607,0.11037891268533773,0.5193798449612403,607
2025-06-30,0.034999999999999996,0.0583,0.11492281303602059,0.5193798449612403,583
2025-06-30,0.04,0.0514,0.1264591439688716,0.5038759689922481,514
2025-06-30,0.045,0.0456,0.1337719298245614,0.4728682170542636,456
2025-06-30,0.049999999999999996,0.0417,0.14628297362110312,0.4728682170542636,417
2025-06-30,0.055,0.0392,0.15051020408163265,0.4573643410852713,392
2025-06-30,0.06,0.0387,0.1524547803617571,0.4573643410852713,387
2025-06-30,0.065,0.0382,0.1544502617801047,0.4573643410852713,382
2025-06-30,0.07,0.0377,0.15649867374005305,0.4573643410852713,377
2025-06-30,0.07500000000000001,0.0372,0.1586021505376344,0.4573643410852713,372
2025-06-30,0.08,0.0351,0.15954415954415954,0.43410852713178294,351
2025-06-30,0.085,0.033,0.16666666666666666,0.4263565891472868,330
2025-06-30,0.09000000000000001,0.0315,0.16507936507936508,0.40310077519379844,315
2025-06-30,0.095,0.0304,0.16776315789473684,0.3953488372093023,304
2025-06-30,0.1,0.0289,0.17647058823529413,0.3953488372093023,289
